-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 8.5672      Epoch average loss: 9.0877
Total step : 200      Batch loss: 6.7473      Epoch average loss: 8.3523
Total step : 300      Batch loss: 5.8536      Epoch average loss: 7.6334
Total step : 400      Batch loss: 5.7091      Epoch average loss: 7.2008
Total step : 500      Batch loss: 5.3368      Epoch average loss: 6.8867
Total step : 600      Batch loss: 5.3036      Epoch average loss: 6.6507
Total step : 700      Batch loss: 5.3417      Epoch average loss: 6.4686
Total step : 800      Batch loss: 5.1314      Epoch average loss: 6.3201
Total step : 900      Batch loss: 4.9487      Epoch average loss: 6.1919
Total step : 1000      Batch loss: 5.0332      Epoch average loss: 6.0779
Total step : 1100      Batch loss: 5.3409      Epoch average loss: 5.9739
Total step : 1200      Batch loss: 4.7691      Epoch average loss: 5.8822
Total step : 1300      Batch loss: 4.7674      Epoch average loss: 5.7998
Total step : 1400      Batch loss: 4.5568      Epoch average loss: 5.7260
Total step : 1500      Batch loss: 4.7059      Epoch average loss: 5.6581
Total step : 1600      Batch loss: 4.7047      Epoch average loss: 5.5998
Total step : 1700      Batch loss: 4.6761      Epoch average loss: 5.5425
Total step : 1800      Batch loss: 4.2823      Epoch average loss: 5.4935
Total step : 1900      Batch loss: 4.7636      Epoch average loss: 5.4474
Total step : 2000      Batch loss: 4.4794      Epoch average loss: 5.4017
Total step : 2100      Batch loss: 4.4268      Epoch average loss: 5.3604
Total step : 2200      Batch loss: 4.4722      Epoch average loss: 5.3213
Total step : 2300      Batch loss: 4.3660      Epoch average loss: 5.2863
Total step : 2400      Batch loss: 4.5919      Epoch average loss: 5.2524
Total step : 2500      Batch loss: 4.4560      Epoch average loss: 5.2178
Total step : 2600      Batch loss: 4.4089      Epoch average loss: 5.1850
Total step : 2700      Batch loss: 4.4924      Epoch average loss: 5.1563
Total step : 2800      Batch loss: 4.2959      Epoch average loss: 5.1293
Total step : 2900      Batch loss: 4.6793      Epoch average loss: 5.1049
Total step : 3000      Batch loss: 4.2357      Epoch average loss: 5.0800
Total step : 3100      Batch loss: 4.7173      Epoch average loss: 5.0552
Total step : 3200      Batch loss: 4.2251      Epoch average loss: 5.0315
Total step : 3300      Batch loss: 4.2217      Epoch average loss: 5.0080
Total step : 3400      Batch loss: 4.0567      Epoch average loss: 4.9861
Total step : 3500      Batch loss: 4.1522      Epoch average loss: 4.9653
