-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 7.4820      Epoch average loss: 8.4259
Total step : 200      Batch loss: 5.6046      Epoch average loss: 7.3745
Total step : 300      Batch loss: 5.2171      Epoch average loss: 6.7295
Total step : 400      Batch loss: 4.9176      Epoch average loss: 6.3109
Total step : 500      Batch loss: 4.7612      Epoch average loss: 6.0161
Total step : 600      Batch loss: 4.6353      Epoch average loss: 5.7937
Total step : 700      Batch loss: 4.6026      Epoch average loss: 5.6136
Total step : 800      Batch loss: 4.6699      Epoch average loss: 5.4669
Total step : 900      Batch loss: 3.9959      Epoch average loss: 5.3482
Total step : 1000      Batch loss: 4.4641      Epoch average loss: 5.2433
Total step : 1100      Batch loss: 3.8255      Epoch average loss: 5.1508
Total step : 1200      Batch loss: 3.6808      Epoch average loss: 5.0643
Total step : 1300      Batch loss: 4.1392      Epoch average loss: 4.9854
Total step : 1400      Batch loss: 3.9332      Epoch average loss: 4.9167
Total step : 1500      Batch loss: 4.2023      Epoch average loss: 4.8490
Total step : 1600      Batch loss: 2.5907      Epoch average loss: 4.7876
Total step : 1700      Batch loss: 3.7451      Epoch average loss: 4.7309
Total step : 1800      Batch loss: 3.3585      Epoch average loss: 4.6764
Total step : 1900      Batch loss: 3.7104      Epoch average loss: 4.6257
Total step : 2000      Batch loss: 3.6056      Epoch average loss: 4.5806
Total step : 2100      Batch loss: 3.1369      Epoch average loss: 4.5365
Total step : 2200      Batch loss: 3.9536      Epoch average loss: 4.4968

-----Epoch 0 开始测试-----

Epoch: 0    BLEU: 0.0679

-----Epoch 1 开始训练-----

Total step : 2300      Batch loss: 2.5167      Epoch average loss: 3.5314
Total step : 2400      Batch loss: 3.4506      Epoch average loss: 3.4890
Total step : 2500      Batch loss: 3.4427      Epoch average loss: 3.4585
Total step : 2600      Batch loss: 3.4458      Epoch average loss: 3.4518
Total step : 2700      Batch loss: 3.4185      Epoch average loss: 3.4356
Total step : 2800      Batch loss: 2.8438      Epoch average loss: 3.4279
Total step : 2900      Batch loss: 3.8868      Epoch average loss: 3.4186
Total step : 3000      Batch loss: 3.7024      Epoch average loss: 3.4110
Total step : 3100      Batch loss: 3.4876      Epoch average loss: 3.4015
Total step : 3200      Batch loss: 2.4899      Epoch average loss: 3.3925
Total step : 3300      Batch loss: 3.6353      Epoch average loss: 3.3816
Total step : 3400      Batch loss: 3.5006      Epoch average loss: 3.3723
Total step : 3500      Batch loss: 3.1461      Epoch average loss: 3.3607
Total step : 3600      Batch loss: 3.4139      Epoch average loss: 3.3491
Total step : 3700      Batch loss: 3.3402      Epoch average loss: 3.3425
Total step : 3800      Batch loss: 3.7212      Epoch average loss: 3.3294
Total step : 3900      Batch loss: 2.5717      Epoch average loss: 3.3210
Total step : 4000      Batch loss: 2.5008      Epoch average loss: 3.3143
Total step : 4100      Batch loss: 3.1185      Epoch average loss: 3.3027
Total step : 4200      Batch loss: 3.0120      Epoch average loss: 3.2937
Total step : 4300      Batch loss: 3.8959      Epoch average loss: 3.2861
Total step : 4400      Batch loss: 2.3974      Epoch average loss: 3.2777
Total step : 4500      Batch loss: 2.6523      Epoch average loss: 3.2694

-----Epoch 1 开始测试-----

Epoch: 1    BLEU: 0.1162

-----Epoch 2 开始训练-----

Total step : 4600      Batch loss: 3.8310      Epoch average loss: 3.1408
Total step : 4700      Batch loss: 2.4046      Epoch average loss: 3.0044
Total step : 4800      Batch loss: 3.3048      Epoch average loss: 2.9893
Total step : 4900      Batch loss: 3.2704      Epoch average loss: 2.9788
Total step : 5000      Batch loss: 2.9353      Epoch average loss: 2.9737
Total step : 5100      Batch loss: 3.0356      Epoch average loss: 2.9660
Total step : 5200      Batch loss: 2.4595      Epoch average loss: 2.9737
Total step : 5300      Batch loss: 3.3160      Epoch average loss: 2.9620
Total step : 5400      Batch loss: 3.2712      Epoch average loss: 2.9552
Total step : 5500      Batch loss: 2.3825      Epoch average loss: 2.9528
Total step : 5600      Batch loss: 2.9943      Epoch average loss: 2.9493
Total step : 5700      Batch loss: 2.8027      Epoch average loss: 2.9438
Total step : 5800      Batch loss: 2.6091      Epoch average loss: 2.9394
Total step : 5900      Batch loss: 2.3239      Epoch average loss: 2.9393
Total step : 6000      Batch loss: 2.6863      Epoch average loss: 2.7651
Total step : 6100      Batch loss: 2.8322      Epoch average loss: 2.8168
Total step : 6200      Batch loss: 2.8529      Epoch average loss: 2.8065
Total step : 6300      Batch loss: 2.4259      Epoch average loss: 2.8007
Total step : 6400      Batch loss: 3.0209      Epoch average loss: 2.7985
Total step : 6500      Batch loss: 3.3599      Epoch average loss: 2.8001
Total step : 6600      Batch loss: 3.0200      Epoch average loss: 2.7974
Total step : 6700      Batch loss: 2.5454      Epoch average loss: 2.8028
Total step : 6800      Batch loss: 3.1705      Epoch average loss: 2.8023
Total step : 6900      Batch loss: 2.7592      Epoch average loss: 2.7971
Total step : 7000      Batch loss: 2.4024      Epoch average loss: 2.7956
Total step : 7100      Batch loss: 2.4937      Epoch average loss: 2.7959
Total step : 7200      Batch loss: 3.2199      Epoch average loss: 2.7939
Total step : 7300      Batch loss: 3.3189      Epoch average loss: 2.7936
Total step : 7400      Batch loss: 3.0120      Epoch average loss: 2.7916
Total step : 7500      Batch loss: 2.6039      Epoch average loss: 2.7916
Total step : 7600      Batch loss: 2.8936      Epoch average loss: 2.7939
Total step : 7700      Batch loss: 2.6328      Epoch average loss: 2.7902
Total step : 7800      Batch loss: 3.0223      Epoch average loss: 2.7883
Total step : 7900      Batch loss: 3.1987      Epoch average loss: 2.7850
Total step : 8000      Batch loss: 2.3179      Epoch average loss: 2.7835
Total step : 8100      Batch loss: 2.7193      Epoch average loss: 2.7806

-----Epoch 2 开始测试-----

Epoch: 2    BLEU: 0.1601

-----Epoch 3 开始训练-----

Total step : 8200      Batch loss: 2.3131      Epoch average loss: 2.6440
Total step : 8300      Batch loss: 2.2693      Epoch average loss: 2.6374
Total step : 8400      Batch loss: 2.6342      Epoch average loss: 2.6053
Total step : 8500      Batch loss: 2.5209      Epoch average loss: 2.5996
Total step : 8600      Batch loss: 2.3090      Epoch average loss: 2.6144
Total step : 8700      Batch loss: 2.1354      Epoch average loss: 2.6074
Total step : 8800      Batch loss: 2.6405      Epoch average loss: 2.6125
Total step : 8900      Batch loss: 2.1495      Epoch average loss: 2.6112
Total step : 9000      Batch loss: 2.8822      Epoch average loss: 2.6156
Total step : 9100      Batch loss: 2.4053      Epoch average loss: 2.6119
Total step : 9200      Batch loss: 3.0381      Epoch average loss: 2.6105
Total step : 9300      Batch loss: 2.8798      Epoch average loss: 2.5995
