-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 8.7573      Epoch average loss: 8.9668
Total step : 200      Batch loss: 6.5798      Epoch average loss: 8.2256
Total step : 300      Batch loss: 5.4718      Epoch average loss: 7.4768
Total step : 400      Batch loss: 5.5313      Epoch average loss: 6.9930
Total step : 500      Batch loss: 5.6741      Epoch average loss: 6.6970
Total step : 600      Batch loss: 5.4088      Epoch average loss: 6.4947
Total step : 700      Batch loss: 5.4118      Epoch average loss: 6.3365
Total step : 800      Batch loss: 5.2363      Epoch average loss: 6.1989
Total step : 900      Batch loss: 4.9976      Epoch average loss: 6.0722
Total step : 1000      Batch loss: 5.0526      Epoch average loss: 5.9592
Total step : 1100      Batch loss: 5.0330      Epoch average loss: 5.8636
Total step : 1200      Batch loss: 4.9717      Epoch average loss: 5.7748
Total step : 1300      Batch loss: 4.9280      Epoch average loss: 5.6953
Total step : 1400      Batch loss: 3.9844      Epoch average loss: 5.6217
Total step : 1500      Batch loss: 4.9141      Epoch average loss: 5.5571
Total step : 1600      Batch loss: 4.6710      Epoch average loss: 5.4939
Total step : 1700      Batch loss: 4.6091      Epoch average loss: 5.4377
Total step : 1800      Batch loss: 4.5176      Epoch average loss: 5.3827
Total step : 1900      Batch loss: 4.4627      Epoch average loss: 5.3307
Total step : 2000      Batch loss: 4.3294      Epoch average loss: 5.2832
Total step : 2100      Batch loss: 3.3661      Epoch average loss: 5.2385
Total step : 2200      Batch loss: 3.9620      Epoch average loss: 5.1935
Total step : 2300      Batch loss: 4.2510      Epoch average loss: 5.1493
Total step : 2400      Batch loss: 3.9532      Epoch average loss: 5.1083

-----Epoch 0 开始测试-----

Epoch: 0    BLEU: 0.0213

-----Epoch 1 开始训练-----

Total step : 2500      Batch loss: 4.2538      Epoch average loss: 4.0234
Total step : 2600      Batch loss: 4.2146      Epoch average loss: 3.9951
Total step : 2700      Batch loss: 3.1645      Epoch average loss: 3.9518
Total step : 2800      Batch loss: 3.4979      Epoch average loss: 3.9316
Total step : 2900      Batch loss: 4.1075      Epoch average loss: 3.9041
Total step : 3000      Batch loss: 3.4266      Epoch average loss: 3.8722
Total step : 3100      Batch loss: 3.1525      Epoch average loss: 3.8440
Total step : 3200      Batch loss: 3.7562      Epoch average loss: 3.8106
Total step : 3300      Batch loss: 3.5663      Epoch average loss: 3.7888
Total step : 3400      Batch loss: 2.9132      Epoch average loss: 3.7615
Total step : 3500      Batch loss: 2.8195      Epoch average loss: 3.7305
Total step : 3600      Batch loss: 3.2965      Epoch average loss: 3.7009
Total step : 3700      Batch loss: 3.6221      Epoch average loss: 3.6715
Total step : 3800      Batch loss: 3.0643      Epoch average loss: 3.6465
Total step : 3900      Batch loss: 3.2673      Epoch average loss: 3.6192
Total step : 4000      Batch loss: 3.1260      Epoch average loss: 3.5974
Total step : 4100      Batch loss: 3.3887      Epoch average loss: 3.5717
Total step : 4200      Batch loss: 3.3358      Epoch average loss: 3.5475
Total step : 4300      Batch loss: 3.2956      Epoch average loss: 3.5276
Total step : 4400      Batch loss: 2.6989      Epoch average loss: 3.5045
Total step : 4500      Batch loss: 2.6658      Epoch average loss: 3.4822
Total step : 4600      Batch loss: 2.9417      Epoch average loss: 3.4596
Total step : 4700      Batch loss: 3.1203      Epoch average loss: 3.4393
Total step : 4800      Batch loss: 2.9310      Epoch average loss: 3.4219
Total step : 4900      Batch loss: 2.9577      Epoch average loss: 3.4025

-----Epoch 1 开始测试-----

Epoch: 1    BLEU: 0.1431

-----Epoch 2 开始训练-----

Total step : 5000      Batch loss: 2.6650      Epoch average loss: 2.9537
Total step : 5100      Batch loss: 3.2759      Epoch average loss: 2.8615
Total step : 5200      Batch loss: 2.2189      Epoch average loss: 2.8276
Total step : 5300      Batch loss: 3.0236      Epoch average loss: 2.8182
Total step : 5400      Batch loss: 3.0742      Epoch average loss: 2.8140
Total step : 5500      Batch loss: 2.3192      Epoch average loss: 2.8096
Total step : 5600      Batch loss: 2.7811      Epoch average loss: 2.8011
Total step : 5700      Batch loss: 2.9747      Epoch average loss: 2.8025
Total step : 5800      Batch loss: 2.4831      Epoch average loss: 2.7968
Total step : 5900      Batch loss: 3.0546      Epoch average loss: 2.7849
Total step : 6000      Batch loss: 2.6018      Epoch average loss: 2.7773
Total step : 6100      Batch loss: 3.0926      Epoch average loss: 2.7738
Total step : 6200      Batch loss: 3.0418      Epoch average loss: 2.7658
Total step : 6300      Batch loss: 2.8789      Epoch average loss: 2.7606
Total step : 6400      Batch loss: 2.8959      Epoch average loss: 2.7548
Total step : 6500      Batch loss: 2.1283      Epoch average loss: 2.7498
Total step : 6600      Batch loss: 2.6550      Epoch average loss: 2.7416
Total step : 6700      Batch loss: 2.9150      Epoch average loss: 2.7391
Total step : 6800      Batch loss: 2.6870      Epoch average loss: 2.7350
Total step : 6900      Batch loss: 2.8122      Epoch average loss: 2.7297
Total step : 7000      Batch loss: 3.0045      Epoch average loss: 2.7240
Total step : 7100      Batch loss: 2.3230      Epoch average loss: 2.7203
Total step : 7200      Batch loss: 2.9028      Epoch average loss: 2.7144
