-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 8.7398      Epoch average loss: 9.1253
Total step : 200      Batch loss: 7.4944      Epoch average loss: 8.6231
Total step : 300      Batch loss: 6.2143      Epoch average loss: 7.9939
Total step : 400      Batch loss: 5.6417      Epoch average loss: 7.4585
Total step : 500      Batch loss: 5.4736      Epoch average loss: 7.0987
Total step : 600      Batch loss: 5.3565      Epoch average loss: 6.8071
Total step : 700      Batch loss: 5.0511      Epoch average loss: 6.5817
Total step : 800      Batch loss: 4.9568      Epoch average loss: 6.3866
Total step : 900      Batch loss: 4.8227      Epoch average loss: 6.2270
Total step : 1000      Batch loss: 5.2482      Epoch average loss: 6.0900
Total step : 1100      Batch loss: 5.1659      Epoch average loss: 5.9739
Total step : 1200      Batch loss: 4.6262      Epoch average loss: 5.8672
Total step : 1300      Batch loss: 4.5723      Epoch average loss: 5.7726
Total step : 1400      Batch loss: 4.3052      Epoch average loss: 5.6885
Total step : 1500      Batch loss: 4.4093      Epoch average loss: 5.6139
Total step : 1600      Batch loss: 4.4172      Epoch average loss: 5.5412
Total step : 1700      Batch loss: 4.2058      Epoch average loss: 5.4725
Total step : 1800      Batch loss: 4.2201      Epoch average loss: 5.4104
Total step : 1900      Batch loss: 4.4723      Epoch average loss: 5.3498
Total step : 2000      Batch loss: 4.7261      Epoch average loss: 5.2974
Total step : 2100      Batch loss: 4.1061      Epoch average loss: 5.2459
Total step : 2200      Batch loss: 4.1602      Epoch average loss: 5.1974
Total step : 2300      Batch loss: 3.9394      Epoch average loss: 5.1511
Total step : 2400      Batch loss: 4.5472      Epoch average loss: 5.1048
Total step : 2500      Batch loss: 4.1749      Epoch average loss: 5.0620
Total step : 2600      Batch loss: 4.2446      Epoch average loss: 5.0220
Total step : 2700      Batch loss: 4.1236      Epoch average loss: 4.9807
Total step : 2800      Batch loss: 3.5542      Epoch average loss: 4.9426
Total step : 2900      Batch loss: 3.7234      Epoch average loss: 4.9058
Total step : 3000      Batch loss: 4.5124      Epoch average loss: 4.8698
Total step : 3100      Batch loss: 4.3143      Epoch average loss: 4.8390
Total step : 3200      Batch loss: 3.7155      Epoch average loss: 4.8066
Total step : 3300      Batch loss: 3.7356      Epoch average loss: 4.7710
Total step : 3400      Batch loss: 4.3347      Epoch average loss: 4.7413
Total step : 3500      Batch loss: 3.4062      Epoch average loss: 4.7085
Total step : 3600      Batch loss: 4.6384      Epoch average loss: 4.6790
Total step : 3700      Batch loss: 3.4504      Epoch average loss: 4.6538
Total step : 3800      Batch loss: 3.2645      Epoch average loss: 4.6274
Total step : 3900      Batch loss: 3.4675      Epoch average loss: 4.6019
Total step : 4000      Batch loss: 4.0205      Epoch average loss: 4.5753
Total step : 4100      Batch loss: 3.5813      Epoch average loss: 4.5496
Total step : 4200      Batch loss: 3.4273      Epoch average loss: 4.5248
Total step : 4300      Batch loss: 3.1392      Epoch average loss: 4.4980
Total step : 4400      Batch loss: 3.3783      Epoch average loss: 4.4735
Total step : 4500      Batch loss: 3.3960      Epoch average loss: 4.4490
Total step : 4600      Batch loss: 3.1344      Epoch average loss: 4.4260
Total step : 4700      Batch loss: 3.3772      Epoch average loss: 4.4015
Total step : 4800      Batch loss: 2.7235      Epoch average loss: 4.3792
Total step : 4900      Batch loss: 2.9679      Epoch average loss: 4.3578
Total step : 5000      Batch loss: 3.0539      Epoch average loss: 4.3356
Total step : 5100      Batch loss: 3.3772      Epoch average loss: 4.3143
Total step : 5200      Batch loss: 3.0447      Epoch average loss: 4.2937
Total step : 5300      Batch loss: 4.4832      Epoch average loss: 4.2746
Total step : 5400      Batch loss: 4.3093      Epoch average loss: 4.2547
Total step : 5500      Batch loss: 3.5493      Epoch average loss: 4.2346
Total step : 5600      Batch loss: 4.4421      Epoch average loss: 4.2167
Total step : 5700      Batch loss: 3.4118      Epoch average loss: 4.1979
Total step : 5800      Batch loss: 4.2004      Epoch average loss: 4.1787
Total step : 5900      Batch loss: 2.8943      Epoch average loss: 4.1592
Total step : 6000      Batch loss: 2.9389      Epoch average loss: 4.1416
Total step : 6100      Batch loss: 3.2779      Epoch average loss: 4.1239
Total step : 6200      Batch loss: 2.7359      Epoch average loss: 4.1062
Total step : 6300      Batch loss: 4.2693      Epoch average loss: 4.0895
Total step : 6400      Batch loss: 4.2060      Epoch average loss: 4.0723
Total step : 6500      Batch loss: 3.4207      Epoch average loss: 4.0554
Total step : 6600      Batch loss: 2.6926      Epoch average loss: 4.0395
Total step : 6700      Batch loss: 2.7050      Epoch average loss: 4.0226
Total step : 6800      Batch loss: 2.5628      Epoch average loss: 4.0089
Total step : 6900      Batch loss: 4.1966      Epoch average loss: 3.9929
Total step : 7000      Batch loss: 3.0624      Epoch average loss: 3.9771
Total step : 7100      Batch loss: 4.1684      Epoch average loss: 3.9625
Total step : 7200      Batch loss: 2.6542      Epoch average loss: 3.9480
Total step : 7300      Batch loss: 2.9392      Epoch average loss: 3.9349
Total step : 7400      Batch loss: 2.6505      Epoch average loss: 3.9208
Total step : 7500      Batch loss: 2.9513      Epoch average loss: 3.9067
Total step : 7600      Batch loss: 2.6048      Epoch average loss: 3.8928
Total step : 7700      Batch loss: 2.5310      Epoch average loss: 3.8796
Total step : 7800      Batch loss: 4.5326      Epoch average loss: 3.8655
Total step : 7900      Batch loss: 3.0722      Epoch average loss: 3.8528
Total step : 8000      Batch loss: 2.8742      Epoch average loss: 3.8403
Total step : 8100      Batch loss: 2.7229      Epoch average loss: 3.8281
Total step : 8200      Batch loss: 4.3389      Epoch average loss: 3.8154
Total step : 8300      Batch loss: 3.0930      Epoch average loss: 3.8031
Total step : 8400      Batch loss: 2.5179      Epoch average loss: 3.7917
Total step : 8500      Batch loss: 3.2067      Epoch average loss: 3.7806
Total step : 8600      Batch loss: 3.8093      Epoch average loss: 3.7692
Total step : 8700      Batch loss: 2.9058      Epoch average loss: 3.7577
Total step : 8800      Batch loss: 3.7685      Epoch average loss: 3.7455
Total step : 8900      Batch loss: 4.0778      Epoch average loss: 3.7348
Total step : 9000      Batch loss: 2.5346      Epoch average loss: 3.7230
Total step : 9100      Batch loss: 3.8162      Epoch average loss: 3.7126
Total step : 9200      Batch loss: 2.3053      Epoch average loss: 3.7021
Total step : 9300      Batch loss: 3.0002      Epoch average loss: 3.6924
Total step : 9400      Batch loss: 4.1953      Epoch average loss: 3.6830
Total step : 9500      Batch loss: 3.6982      Epoch average loss: 3.6737
Total step : 9600      Batch loss: 3.4804      Epoch average loss: 3.6636
Total step : 9700      Batch loss: 2.5892      Epoch average loss: 3.6532
Total step : 9800      Batch loss: 3.5400      Epoch average loss: 3.6443
Total step : 9900      Batch loss: 2.8287      Epoch average loss: 3.6352
